Sample_name	Group	Time_d	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68
Preculture	Preculture	0	0.000841	0.000291	0.001339	0.002134	0.007974	0.00172	0.00247	0.006331	0.001177	0.000407	0.000776	0.003188	0.014699	0.044983	0.001617	0.002212	0.001067	0.005497	0.000776	0.000453	0.010069	0.000472	0.000511	0.002302	0.001908	0.00022	0.000097	0.004093	0.002302	0.000336	0.002522	0.000246	0.00022	0.011323	0.006997	0.333601	0.111164	0.062055	0.194604	0.054832	0.034507	0.003059	0.002677	0.008795	0.003434	0.001927	0.000136	0.000414	0.000065	0.010424	0.001183	0.001798	0.003796	0.000317	0.000388	0.002968	0.003835	0.004637	0.000362	0.005264	0.000692	0.000136	0.002813	0.000155	0.000524	0.00485	0.000976	0.000045
0.25_C1	C1	0.25	0.000035	0.000043	0.000574	0.000163	0.003736	0.000035	0.000751	0.000673	0.000035	0.000014	0.000014	0.000418	0.009308	0.016298	0.000184	0.000191	0.000546	0.002389	0.000043	0.000064	0.001723	0.000035	0.000057	0.000106	0.000135	0.00005	0	0.000149	0.000603	0.000815	0.000454	0.000255	0.000057	0.001191	0.001028	0.487746	0.186962	0.12513	0.039224	0.072479	0.009698	0.000064	0.000043	0.009485	0.000766	0.000397	0.000014	0.000482	0.000064	0.000447	0.000135	0.000163	0.005154	0.000028	0.000028	0.004353	0.000964	0.001716	0.000035	0.006848	0.000007	0.000014	0.000567	0.000014	0.000121	0.003176	0.001496	0.000007
1_C1	C1	1	0.000889	0.000054	0.000593	0.001155	0.002328	0.017198	0.002679	0.03843	0.003477	0.00006	0.002637	0.010474	0.049599	0.057334	0.025568	0.031391	0.005836	0.012445	0.000587	0.000121	0.020349	0.006071	0.000314	0.010994	0.003399	0.000284	0.000121	0.017047	0.005376	0.000484	0.003108	0.000151	0.00003	0.024788	0.009512	0.221165	0.053494	0.022774	0.083295	0.086633	0.027267	0.029994	0.017035	0.010431	0.005388	0.004941	0.001161	0.000242	0.000048	0.016763	0.000369	0.000816	0.013165	0.000036	0.003743	0.002117	0.00569	0.002032	0.001584	0.008841	0.005975	0.000012	0.002346	0.000036	0.001355	0.003072	0.003054	0.000242
2_C1	C1	2	0.001147	0.000114	0.01921	0.024729	0.008988	0.037373	0.007854	0.029514	0.021878	0.000615	0.005254	0.013136	0.03001	0.03485	0.182015	0.050673	0.002573	0.009188	0.029532	0.00285	0.006948	0.052981	0.000223	0.028995	0.001981	0.005168	0.001498	0.007759	0.004612	0.002031	0.003365	0.000164	0.000018	0.012499	0.004512	0.059465	0.019415	0.007044	0.033434	0.017175	0.016273	0.045737	0.0536	0.003506	0.002227	0.00632	0.006028	0.007818	0.000055	0.02212	0.009607	0.00194	0.00336	0.000091	0.016364	0.000628	0.003802	0.000883	0.001703	0.003233	0.003287	0.000046	0.002026	0.000137	0.002777	0.002363	0.002618	0.00066
3_C1	C1	3	0.000841	0.000336	0.038048	0.018841	0.022025	0.078376	0.018729	0.040848	0.00721	0.001319	0.007027	0.012551	0.031777	0.042754	0.155601	0.066648	0.004451	0.017279	0.025019	0.009912	0.00225	0.055375	0.000407	0.012356	0.002261	0.011728	0.004022	0.011676	0.003394	0.005883	0.003827	0.000314	0.000232	0.013253	0.007101	0.018703	0.00623	0.00336	0.027329	0.006619	0.014289	0.046162	0.039102	0.007415	0.004721	0.005819	0.013702	0.017458	0.00012	0.01211	0.011747	0.001506	0.001547	0.000254	0.008081	0.000837	0.001222	0.000265	0.002112	0.001637	0.007501	0.000075	0.001346	0.000164	0.001499	0.000983	0.00185	0.000564
5_C1	C1	5	0.010266	0.007501	0.052544	0.028854	0.015298	0.008759	0.009111	0.115425	0.024337	0.011724	0.002158	0.005055	0.042498	0.00977	0.178833	0.049314	0.002715	0.015325	0.021016	0.01409	0.005351	0.011462	0.003567	0.086018	0.007755	0.002757	0.001583	0.005392	0.000901	0.007865	0.001094	0.003453	0.000454	0.024341	0.004669	0.00841	0.002647	0.001621	0.010834	0.003344	0.010069	0.019354	0.023901	0.020728	0.01545	0.003915	0.001197	0.006206	0.002995	0.033936	0.008759	0.000583	0.002927	0.004056	0.004048	0.002923	0.000193	0.000095	0.001329	0.002367	0.002348	0.002636	0.002514	0.005093	0.001003	0.001287	0.001727	0.00025
7_C1	C1	7	0.013373	0.02576	0.202379	0.065489	0.009291	0.011777	0.007769	0.007198	0.02319	0.037054	0.003229	0.003518	0.011262	0.006391	0.02537	0.01167	0.006179	0.011474	0.0336	0.104424	0.002645	0.015504	0.003971	0.023424	0.008998	0.003613	0.00244	0.012568	0.003146	0.00228	0.011467	0.000789	0.003324	0.020161	0.009135	0.002557	0.000719	0.000451	0.006506	0.00122	0.005676	0.010448	0.011336	0.001507	0.001022	0.002203	0.00302	0.008078	0.092423	0.017478	0.008322	0.010453	0.000476	0.031292	0.003045	0.001957	0.000278	0.000075	0.005011	0.000259	0.004114	0.004213	0.000476	0.008276	0.000918	0.003358	0.006698	0.002275
8_C1	C1	8	0.00926	0.009908	0.209052	0.062756	0.043119	0.00576	0.009218	0.009371	0.036515	0.046402	0.001995	0.00463	0.016463	0.008534	0.053469	0.022912	0.00257	0.008083	0.036256	0.065601	0.003599	0.012145	0.000532	0.036037	0.00713	0.00201	0.000646	0.00488	0.001724	0.002233	0.014235	0.000741	0.000511	0.010234	0.004377	0.003323	0.000819	0.000539	0.009658	0.001881	0.007343	0.015325	0.022566	0.001757	0.000694	0.001416	0.001157	0.009535	0.054799	0.020386	0.005781	0.026536	0.000511	0.024913	0.006036	0.001932	0.000774	0.000088	0.001016	0.000474	0.001761	0.003201	0.000419	0.009832	0.000545	0.000772	0.001153	0.000147
9_C1	C1	9	0.007062	0.007043	0.170742	0.047246	0.047917	0.003362	0.004719	0.007395	0.03569	0.044677	0.001103	0.004869	0.016275	0.010922	0.089238	0.034981	0.001197	0.007316	0.038442	0.067704	0.002841	0.035817	0.000202	0.048025	0.005738	0.000714	0.000193	0.002395	0.001287	0.001413	0.010095	0.000474	0.000108	0.008311	0.002221	0.005583	0.001132	0.000761	0.014293	0.00277	0.012124	0.01996	0.02351	0.000686	0.000258	0.001352	0.000512	0.001348	0.056665	0.024712	0.002118	0.01981	0.000315	0.020299	0.009043	0.001277	0.000343	0.00007	0.00031	0.000296	0.001103	0.001906	0.000362	0.007696	0.000916	0.000188	0.000474	0.000075
10_C1	C1	10	0.002983	0.005989	0.204682	0.066516	0.023655	0.002803	0.005119	0.009952	0.023711	0.047611	0.001004	0.005471	0.017643	0.00942	0.108762	0.02643	0.001022	0.003908	0.031813	0.109789	0.006257	0.027762	0.000157	0.036077	0.00253	0.000541	0.000162	0.001827	0.001452	0.001831	0.0077	0.000578	0.000231	0.004319	0.00173	0.003478	0.000772	0.000536	0.010082	0.002035	0.005855	0.015469	0.02445	0.000805	0.000398	0.001785	0.000541	0.001799	0.066387	0.012995	0.002372	0.010799	0.000527	0.018073	0.009305	0.001189	0.000245	0.000074	0.000388	0.000388	0.000805	0.001008	0.000532	0.003963	0.000842	0.000139	0.000458	0.000069
11_C1	C1	11	0.001896	0.002842	0.23229	0.059802	0.011741	0.003592	0.003425	0.012934	0.024256	0.036995	0.002027	0.00527	0.014402	0.008531	0.178177	0.018185	0.000759	0.002884	0.03344	0.073184	0.003518	0.03227	0.000308	0.043299	0.002451	0.000527	0.000084	0.001808	0.002306	0.002558	0.004664	0.000937	0.00021	0.003863	0.001062	0.003518	0.000811	0.000615	0.011536	0.002372	0.005517	0.017389	0.033076	0.001291	0.000461	0.002935	0.00075	0.001468	0.038472	0.012822	0.003159	0.005237	0.00075	0.01039	0.01204	0.000643	0.000149	0.000033	0.000289	0.000946	0.001202	0.000606	0.00068	0.002642	0.000759	0.00027	0.000517	0.000158
12_C1	C1	12	0.004733	0.003356	0.097259	0.033766	0.006529	0.009664	0.003568	0.024777	0.016009	0.014543	0.00346	0.013322	0.01731	0.009909	0.236844	0.037773	0.000768	0.00436	0.027563	0.039381	0.004606	0.047715	0.001117	0.065949	0.005039	0.001518	0.000255	0.002456	0.007184	0.008631	0.003531	0.008325	0.000537	0.012714	0.001457	0.006604	0.002032	0.001386	0.011969	0.003206	0.007014	0.034026	0.051189	0.001772	0.00083	0.009536	0.001188	0.00148	0.01813	0.029264	0.002597	0.002267	0.000924	0.00675	0.018611	0.001023	0.000151	0.000071	0.000302	0.002465	0.003135	0.000849	0.001956	0.00123	0.001348	0.00024	0.000429	0.000099
